season,pace,source,verified
1957,117.6,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1958,121.0,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1959,118.6,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1960,127.7,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1961,127.2,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1962,125.5,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1963,119.8,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1964,118.2,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1965,116.5,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1966,118.4,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1967,119.4,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1968,117.5,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1969,114.9,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1970,116.7,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1971,115.1,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1972,112.6,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1973,110.4,unverified estimate (no published source identified; see docs/sources.md 2026-07-11),false
1974,107.8,basketball-reference.com League Averages (tracked pace),true
1975,104.5,basketball-reference.com League Averages (tracked pace),true
1976,105.5,basketball-reference.com League Averages (tracked pace),true
1977,106.5,basketball-reference.com League Averages (tracked pace),true
