player_id,season,award,all_nba_team
165,1985,all_star,
165,1986,all_nba,2
165,1986,all_star,
165,1987,all_nba,1
165,1987,all_star,
165,1988,all_nba,1
165,1988,all_star,
165,1989,all_nba,1
165,1989,all_star,
165,1990,all_nba,2
165,1990,all_star,
165,1991,all_nba,3
165,1992,all_star,
165,1993,all_nba,1
165,1993,all_star,
165,1993,dpoy,
165,1994,all_nba,1
165,1994,all_star,
165,1994,dpoy,
165,1994,finals_mvp,
165,1994,mvp,
165,1994,ring,
165,1995,all_nba,3
165,1995,all_star,
165,1995,finals_mvp,
165,1995,ring,
165,1996,all_nba,2
165,1996,all_star,
165,1997,all_nba,1
165,1997,all_star,
165,1999,all_nba,3
406,1993,all_star,
406,1994,all_nba,3
406,1994,all_star,
406,1995,all_nba,2
406,1995,all_star,
406,1996,all_nba,3
406,1996,all_star,
406,1997,all_nba,3
406,1997,all_star,
406,1998,all_nba,1
406,1998,all_star,
406,1999,all_nba,2
406,2000,all_nba,1
406,2000,all_star,
406,2000,finals_mvp,
406,2000,mvp,
406,2000,ring,
406,2001,all_nba,1
406,2001,all_star,
406,2001,finals_mvp,
406,2001,ring,
406,2002,all_nba,1
406,2002,all_star,
406,2002,finals_mvp,
406,2002,ring,
406,2003,all_nba,1
406,2003,all_star,
406,2004,all_nba,1
406,2004,all_star,
406,2005,all_nba,1
406,2005,all_star,
406,2006,all_nba,1
406,2006,all_star,
406,2006,ring,
406,2007,all_star,
406,2009,all_nba,3
406,2009,all_star,
708,1997,all_star,
708,1998,all_star,
708,1999,all_nba,3
708,2000,all_nba,1
708,2000,all_star,
708,2001,all_nba,2
708,2001,all_star,
708,2002,all_nba,2
708,2002,all_star,
708,2003,all_nba,1
708,2003,all_star,
708,2004,all_nba,1
708,2004,all_star,
708,2004,mvp,
708,2005,all_nba,2
708,2005,all_star,
708,2006,all_star,
708,2007,all_nba,3
708,2007,all_star,
708,2008,all_nba,1
708,2008,all_star,
708,2008,dpoy,
708,2008,ring,
708,2009,all_star,
708,2010,all_star,
708,2011,all_star,
708,2013,all_star,
893,1985,all_nba,2
893,1985,all_star,
893,1986,all_star,
893,1987,all_nba,1
893,1987,all_star,
893,1988,all_nba,1
893,1988,all_star,
893,1988,dpoy,
893,1988,mvp,
893,1989,all_nba,1
893,1989,all_star,
893,1990,all_nba,1
893,1990,all_star,
893,1991,all_nba,1
893,1991,all_star,
893,1991,finals_mvp,
893,1991,mvp,
893,1991,ring,
893,1992,all_nba,1
893,1992,all_star,
893,1992,finals_mvp,
893,1992,mvp,
893,1992,ring,
893,1993,all_nba,1
893,1993,all_star,
893,1993,finals_mvp,
893,1993,ring,
893,1996,all_nba,1
893,1996,all_star,
893,1996,finals_mvp,
893,1996,mvp,
893,1996,ring,
893,1997,all_nba,1
893,1997,all_star,
893,1997,finals_mvp,
893,1997,ring,
893,1998,all_nba,1
893,1998,all_star,
893,1998,finals_mvp,
893,1998,mvp,
893,1998,ring,
893,2002,all_star,
893,2003,all_star,
977,1998,all_star,
977,1999,all_nba,3
977,2000,all_nba,2
977,2000,all_star,
977,2000,ring,
977,2001,all_nba,2
977,2001,all_star,
977,2001,ring,
977,2002,all_nba,1
977,2002,all_star,
977,2002,ring,
977,2003,all_nba,1
977,2003,all_star,
977,2004,all_nba,1
977,2004,all_star,
977,2005,all_nba,3
977,2005,all_star,
977,2006,all_nba,1
977,2006,all_star,
977,2007,all_nba,1
977,2007,all_star,
977,2008,all_nba,1
977,2008,all_star,
977,2008,mvp,
977,2009,all_nba,1
977,2009,all_star,
977,2009,finals_mvp,
977,2009,ring,
977,2010,all_nba,1
977,2010,all_star,
977,2010,finals_mvp,
977,2010,ring,
977,2011,all_nba,1
977,2011,all_star,
977,2012,all_nba,1
977,2012,all_star,
977,2013,all_nba,1
977,2013,all_star,
977,2014,all_star,
977,2015,all_star,
977,2016,all_star,
1449,1980,all_nba,1
1449,1980,all_star,
1449,1981,all_nba,1
1449,1981,all_star,
1449,1981,ring,
1449,1982,all_nba,1
1449,1982,all_star,
1449,1983,all_nba,1
1449,1983,all_star,
1449,1984,all_nba,1
1449,1984,all_star,
1449,1984,finals_mvp,
1449,1984,mvp,
1449,1984,ring,
1449,1985,all_nba,1
1449,1985,all_star,
1449,1985,mvp,
1449,1986,all_nba,1
1449,1986,all_star,
1449,1986,finals_mvp,
1449,1986,mvp,
1449,1986,ring,
1449,1987,all_nba,1
1449,1987,all_star,
1449,1988,all_nba,1
1449,1988,all_star,
1449,1990,all_nba,2
1449,1990,all_star,
1449,1991,all_star,
1449,1992,all_star,
1495,1998,all_nba,1
1495,1998,all_star,
1495,1999,all_nba,1
1495,1999,finals_mvp,
1495,1999,ring,
1495,2000,all_nba,1
1495,2000,all_star,
1495,2001,all_nba,1
1495,2001,all_star,
1495,2002,all_nba,1
1495,2002,all_star,
1495,2002,mvp,
1495,2003,all_nba,1
1495,2003,all_star,
1495,2003,finals_mvp,
1495,2003,mvp,
1495,2003,ring,
1495,2004,all_nba,1
1495,2004,all_star,
1495,2005,all_nba,1
1495,2005,all_star,
1495,2005,finals_mvp,
1495,2005,ring,
1495,2006,all_nba,2
1495,2006,all_star,
1495,2007,all_nba,1
1495,2007,all_star,
1495,2007,ring,
1495,2008,all_nba,2
1495,2008,all_star,
1495,2009,all_nba,2
1495,2009,all_star,
1495,2010,all_nba,3
1495,2010,all_star,
1495,2011,all_star,
1495,2013,all_nba,1
1495,2013,all_star,
1495,2014,ring,
1495,2015,all_nba,3
1495,2015,all_star,
