season,lg_pts_pg,lg_trb_pg,lg_ast_pg,lg_ts_pct,season_games,asg_held,pace,pace_estimated
1957,98.6086,55.8776,18.6655,0.4498,72,True,117.6,True
1958,106.6372,62.1771,19.6372,0.4492,72,True,121.0,True
1959,108.2326,60.4062,19.6042,0.4574,72,True,118.6,True
1960,115.3517,64.1167,22.5417,0.4635,75,True,127.7,True
1961,118.1234,64.4494,24.1709,0.4691,79,True,127.2,True
1962,118.7639,61.7375,23.9319,0.4787,80,True,125.5,True
1963,115.2681,57.5306,22.6972,0.4925,80,True,119.8,True
1964,106.5819,56.0667,20.8986,0.4854,80,True,118.2,True
1965,110.6125,59.1153,20.9542,0.4789,80,True,116.5,True
1966,104.3625,53.95,20.8847,0.4858,80,True,118.4,True
1967,114.1358,57.0247,22.037,0.495,81,True,119.4,True
1968,107.6138,53.5478,21.1352,0.4979,82,True,117.5,True
1969,100.3336,49.899,20.939,0.4916,82,True,114.9,True
1970,108.601,48.2753,23.1577,0.511,82,True,116.7,True
1971,109.0007,51.0574,23.3336,0.5014,82,True,115.1,True
1972,99.7518,45.8737,21.6722,0.5062,82,True,112.6,True
1973,98.7719,45.6176,23.4261,0.5006,82,True,110.4,True
1974,101.7073,46.3902,23.411,0.5028,82,True,107.8,True
1975,95.1463,43.7602,22.1118,0.5031,82,True,104.5,True
1976,99.834,44.5515,21.9614,0.5044,82,True,105.5,True
1977,98.1497,43.3309,22.0471,0.5121,82,True,106.5,True
1978,96.6879,42.3897,22.2245,0.5184,82,True,108.783,False
1979,101.031,41.6292,23.8359,0.5315,82,True,107.6663,False
1980,99.1519,40.6369,23.4684,0.5328,82,True,105.6426,False
1981,102.9464,41.5801,23.8399,0.5362,82,True,104.752,False
1982,103.245,41.5154,24.2492,0.5398,82,True,102.9645,False
1983,108.5143,44.4608,25.9077,0.5314,82,True,105.5532,False
1984,110.1066,43.0265,26.1888,0.5429,82,True,103.9833,False
1985,109.9295,43.0928,26.0795,0.5436,82,True,104.7421,False
1986,107.7566,42.711,25.2704,0.5415,82,True,104.7087,False
1987,109.9353,44.0191,25.9799,0.5379,82,True,103.5302,False
1988,108.1617,43.3871,25.7683,0.5379,82,True,102.197,False
1989,109.1693,43.9176,25.5761,0.537,82,True,103.3973,False
1990,106.9928,43.1427,24.8523,0.5366,82,True,100.8214,False
1991,106.1567,43.2272,24.6572,0.5345,82,True,100.3152,False
1992,105.1996,43.6468,24.4264,0.5314,82,True,99.0919,False
1993,105.1301,43.1075,24.6432,0.5364,82,True,99.058,False
1994,101.2385,42.949,24.3026,0.5278,82,True,97.2882,False
1995,101.3184,41.5289,23.3071,0.543,82,True,95.0236,False
1996,99.5034,41.2527,22.6871,0.542,82,True,93.7977,False
1997,96.5269,40.8381,21.9912,0.5359,82,True,92.2561,False
1998,95.4336,41.487,21.9853,0.5237,82,True,92.3708,False
1999,91.46,41.5876,20.7097,0.5115,50,False,90.915,False
2000,97.4722,42.9193,22.3423,0.5228,82,True,95.0834,False
2001,94.8103,42.4676,21.7771,0.5179,82,True,93.1642,False
2002,95.4765,42.4008,21.9222,0.5203,82,True,92.6904,False
2003,95.0807,42.3061,21.5025,0.5194,82,True,92.9909,False
2004,93.3966,42.204,21.3028,0.5162,82,True,92.2662,False
2005,97.1988,41.8577,21.2772,0.5294,82,True,93.0297,False
2006,97.0085,40.9569,20.6142,0.5356,82,True,92.3515,False
2007,98.7394,41.0545,21.2866,0.5415,82,True,93.7221,False
2008,99.9232,41.9801,21.7504,0.5402,82,True,94.2188,False
2009,99.9508,41.2951,20.9776,0.5444,82,True,93.5206,False
2010,100.4472,41.7236,21.2431,0.5429,82,True,94.4462,False
2011,99.5504,41.3886,21.4988,0.5414,82,True,93.8716,False
2012,96.2596,42.1783,20.9763,0.5271,66,True,93.1327,False
2013,98.0581,42.1033,22.1199,0.5346,82,True,93.839,False
2014,101.0089,42.7484,22.0045,0.5409,82,True,95.7355,False
2015,100.0142,43.2943,22.0333,0.5342,82,True,95.6595,False
2016,102.6715,43.7581,22.289,0.5412,82,True,97.4935,False
2017,105.5907,43.5142,22.626,0.5524,82,True,98.1511,False
2018,106.3333,43.5159,23.237,0.5562,82,True,98.9793,False
2019,111.2085,45.1654,24.5866,0.5596,82,True,101.8478,False
2020,111.7979,44.8333,24.3857,0.5647,72,True,102.0712,False
2021,112.0912,44.2991,24.8042,0.5718,72,True,100.8108,False
2022,110.6159,44.45,24.6488,0.566,82,True,99.8712,False
2023,114.6858,43.4382,25.3167,0.5813,82,True,100.8868,False
2024,114.2114,43.5415,26.6707,0.58,82,True,100.2373,False
2025,113.8252,44.1122,26.5496,0.5762,82,True,100.6107,False
2026,115.6077,43.7695,26.7407,0.5814,82,True,101.3042,False
